REQUESTED_FRE_ID;PHOTONIC_SERVICE_ID;FREQUENCY;WIDTH;WAVELENGTH;CHANNEL
-2452911897910629777;5080856236003877045;192.100000;37.500;1560.61;CH-77
-2452911897910629777;999495138910435669;193.200000;37.5;1551.72;CH-55
-2452911897910629777;5023420224856767973;193.500000;37.5;1549.32;CH-49
-2452911897910629777;;;;;
-2452911897910629777;;;;;
-2452911897910629777;;;;;
-2452911897910629777;;;;;
-2452911897910629777;-8243973046581004167-snc::controlPlane;192.550000;59.000;1556.96;CH-68
-2452911897910629777;;;;;
-2452911897910629777;-8137643980727747504-snc::controlPlane;193.150000;37.500;1552.12;CH-56
-2452911897910629777;-5273544505050637382-snc::controlPlane;192.800000;37.500;1554.94;CH-63
-2452911897910629777;-1891800805037145160;192.400000;37.5;1558.17;CH-71
-2452911897910629777;-9177426960902393720-snc::controlPlane;193.600000;37.500;1548.51;CH-47
-2452911897910629777;971980045483606438;192.650000;37.5;1556.15;CH-66
-2452911897910629777;3788582245418993392;192.900000;37.5;1554.13;CH-61
-2452911897910629777;-7595070250042290280;192.450000;37.5;1557.77;CH-70
-2452911897910629777;;;;;
-2452911897910629777;-8465115762198201155;194.000000;37.5;1545.32;CH-39
-2452911897910629777;;;;;
-2452911897910629777;2684853105157595934-snc::controlPlane;194.150000;101.800;1544.13;CH-36
-2452911897910629777;;;;;
-2452911897910629777;;;;;
-2452911897910629777;-4689329977446562738;193.900000;37.500;1546.12;CH-41
-2452911897910629777;-5214761039715918785;193.450000;37.5;1549.72;CH-50
-2452911897910629777;419757951841298881-snc::controlPlane;194.550000;101.800;1540.95;CH-28
-2452911897910629777;-2179690885883656951-snc::controlPlane;195.587500;59.000;;
-2869142135979126232;4942645699981026196-snc::controlPlane;192.950000;37.500;1553.73;CH-60
-2869142135979126232;-9090545115367141883;193.850000;37.5;1546.52;CH-42
-2869142135979126232;4364527165275798647;193.400000;37.500;1550.12;CH-51
-2869142135979126232;-4689329977446562738;193.900000;37.500;1546.12;
-2869142135979126232;8287853772381671323;193.600000;37.5;1548.51;CH-47
-2869142135979126232;;;;;
-2869142135979126232;cd20433f-f2e2-4526-a896-a8890b97142f;193.650000;37.500;1548.11;CH-46
-2869142135979126232;-5295651055078698766;193.450000;37.5;1549.72;CH-50
-2869142135979126232;;;;;
-2869142135979126232;9117139353070681779-snc::controlPlane;195.400000;59.000;1534.25;CH-11
-2869142135979126232;-2205197390027940667-snc::controlPlane;193.500000;37.500;1549.32;CH-49
-2869142135979126232;;;;;
-2869142135979126232;;;;;
-2869142135979126232;7769556272936361374;192.100000;37.500;1560.61;CH-77
-2869142135979126232;-8016134962896185411-snc::controlPlane;192.650000;59.000;1556.15;CH-66
-2869142135979126232;;;;;
-2869142135979126232;-8137643980727747504-snc::controlPlane;193.150000;37.500;1552.12;CH-56
-2869142135979126232;3788582245418993392;192.900000;37.5;1554.13;CH-61
-2869142135979126232;;;;;
-2869142135979126232;;;;;
-2869142135979126232;-8465115762198201155;194.000000;37.5;1545.32;CH-39
-2869142135979126232;-7424829234677332349-snc::controlPlane;192.450000;59.000;1557.77;CH-70
-2869142135979126232;2684853105157595934-snc::controlPlane;194.150000;101.800;1544.13;CH-36
-2869142135979126232;419757951841298881-snc::controlPlane;194.550000;101.800;1540.95;CH-28
-2869142135979126232;;;;;
-2869142135979126232;;;;;
-3079449438060424150;2886311064373298057;195.300000;37.5;1535.04;CH-13
-3079449438060424150;;;;;
-3079449438060424150;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-3079449438060424150;-415940517515033670;195.200000;37.5;1535.82;CH-15
-3079449438060424150;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-3079449438060424150;;;;;
-3079449438060424150;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-3079449438060424150;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-3079449438060424150;-41496354663277466-snc::controlPlane;196.087500;37.500;;
-3079449438060424150;;;;;
-3079449438060424150;1408628611394293437;193.500000;37.500;1549.32;CH-49
-3079449438060424150;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-3079449438060424150;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
